case_name,complaint_description,suggested_labels,suggested_workflow,cluster_id
CASE-03289: Water Tanker complaint (rephrased),Requesting urgent attention: no municipal water tanker has visited New Bus Stand area in 21 days despite the fixed schedule.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03290: Bus Delay complaint,Bus route serving Sholinganallur is consistently 6 minutes late on weekday mornings.,Transport / RTO,standard_route -> assign_L1 -> SLA_days,
CASE-03291: Pothole complaint,Potholes on the main road near Ward 33 bus stop have worsened after recent rain.,Roads & PWD + Water Supply / Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03292: Streetlight complaint,"Streetlight near Periyar Nagar has been off for 13 days, the road is very dark at night.",Electricity Board + Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-03293: Garbage complaint,Garbage truck has skipped Ambattur for 6 collection cycles in a row now.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03294: Repeated informal demand,"The revenue inspector in College Road asked for a cash 'tip' of about Rs 4000 before releasing my connection, not the first such demand.",Water Supply / Sanitation + Vigilance / Anti-Corruption Bureau,corruption_flag -> reroute_away_from_named_office -> vigilance_channel -> protect_complainant_identity,
CASE-03295: Scholarship delay,"Government scholarship approved but not disbursed for 85 days, student needs it for fee payment.",Education Department,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03296: Bus Delay complaint,Bus route serving Ward 41 is consistently 3 minutes late on weekday mornings.,Transport / RTO,standard_route -> assign_L1 -> SLA_days,
CASE-03297: Landslide-prone slope unaddressed,Cracks have appeared on the hillside slope above homes in Saidapet after last monsoon; no inspection has happened yet.,Environment / Pollution Control + Housing & Urban Development,priority_flag_where_safety_relevant -> pattern_check -> escalate_if_repeat_or_confirmed,
CASE-03298: Certificate delay (rephrased),"Income certificate application from Bypass Road area filed 14 days back remains unissued, deadline is approaching fast.",Revenue Department / Land Records,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03299: Euphemistic bribery (rephrased),It was implied by the meter reader that a Rs 10000 'facilitation amount' would get my paperwork cleared immediately.,Transport / RTO + Vigilance / Anti-Corruption Bureau,corruption_flag -> reroute_away_from_named_office -> vigilance_channel -> protect_complainant_identity,
CASE-03300: Ration card correction,"Requested correction on ration card (address change) for Purasaiwalkam household filed 45 days ago, still not processed.",Public Distribution System (Ration),standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03301: Property tax refund delay,Excess property tax refund approved for a Ring Road junction property but not credited even after 24 days.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03302: Bus Delay complaint,Bus route serving Velachery is consistently 8 minutes late on weekday mornings.,Transport / RTO,standard_route -> assign_L1 -> SLA_days,
CASE-03303: Repeated closure dispute (rephrased),"The pothole complaint from Hospital Road has been closed as 'resolved' three separate times, and each time nothing had actually changed.",Roads & PWD,structural_handling(split_or_reopen_or_sarcasm_check) -> human_review_where_ambiguous,
CASE-03304: Parking complaint (rephrased),"Footpaths near Green Park Layout market are constantly obstructed by illegally parked vehicles, pedestrians forced onto the road.",Police Department / Transport,standard_route -> assign_L1 -> SLA_days,
CASE-03305: Water Tanker complaint (rephrased),Requesting urgent attention: no municipal water tanker has visited West Mambalam in 13 days despite the fixed schedule.,Water Supply / Sanitation + Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03306: Water Tanker complaint (rephrased),Requesting urgent attention: no municipal water tanker has visited Temple Street in 12 days despite the fixed schedule.,Water Supply / Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03307: Repeated informal demand,"The block development officer in Guindy asked for a cash 'tip' of about Rs 8000 before releasing my connection, not the first such demand.",Water Supply / Sanitation + Vigilance / Anti-Corruption Bureau,corruption_flag -> reroute_away_from_named_office -> vigilance_channel -> protect_complainant_identity,
CASE-03308: Garbage complaint,Garbage truck has skipped Nungambakkam for 4 collection cycles in a row now.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03309: Toilet complaint (rephrased),"The public toilet facility in Station Road has been without running water for days, cleanliness is very poor.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03310: Streetlight complaint (rephrased),"Streetlight complaint (formal follow-up): requesting repair of the non-functional pole light on New Bus Stand area, non-functional for approximately 16 days now, causing safety concerns for evening commuters.",Electricity Board + Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-03311: Toilet complaint (rephrased),"The public toilet facility in Temple Street has been without running water for days, cleanliness is very poor.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03312: Water Tanker complaint,"Scheduled water tanker did not come to Nungambakkam on the assigned day, 5 days without supply now.",Water Supply / Sanitation + Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03313: Land mutation delay (rephrased),Purchased property in Ward 41 but the mutation record still hasn't been updated after 115 days at the revenue office.,Revenue Department / Land Records,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03314: Suspected outbreak / contamination cluster (case 1 of 3),Several households on Main Bazaar Road report breathing difficulty after the municipal water supply resumed following pipeline repair.,Health Department / Hospital,corroboration_clustering -> match_geography_and_time_window -> auto_escalate_public_health_if_2plus_independent_reports -> do_not_wait_for_high_volume,OUTBREAK-027
CASE-03315: Streetlight complaint (rephrased),"Streetlight complaint (formal follow-up): requesting repair of the non-functional pole light on Ward 33, non-functional for approximately 11 days now, causing safety concerns for evening commuters.",Electricity Board + Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-03316: Animal attack in public area (rephrased),"For the second time this month, a stray cattle attack near Madipakkam market has left a pedestrian injured.",Animal Husbandry / Municipal (Strays),priority_flag_where_safety_relevant -> pattern_check -> escalate_if_repeat_or_confirmed,
CASE-03317: Certificate delay (rephrased),"Income certificate application from Bharathi Nagar filed 127 days back remains unissued, deadline is approaching fast.",Revenue Department / Land Records,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03318: Water Tanker complaint (rephrased),Requesting urgent attention: no municipal water tanker has visited Lake View Road in 4 days despite the fixed schedule.,Water Supply / Sanitation + Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03319: Property tax refund delay,Excess property tax refund approved for a Block C colony property but not credited even after 60 days.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03320: Stray Dogs complaint,Pack of stray dogs near Guindy park has been aggressive towards children lately.,Animal Husbandry / Municipal (Strays),standard_route -> assign_L1 -> SLA_days,
CASE-03321: Garbage complaint,Garbage truck has skipped Market Yard area for 8 collection cycles in a row now.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03322: Toilet complaint (rephrased),"The public toilet facility in Avadi has been without running water for days, cleanliness is very poor.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03323: Excessive repeat filing,Same resident has re-filed a streetlight complaint in Sholinganallur 45 times in two weeks despite acknowledgment each time.,Roads & PWD / Electricity Board,coordination_or_repetition_pattern_detect -> merge_or_flag -> human_review,
CASE-03324: Scholarship delay,"Government scholarship approved but not disbursed for 82 days, student needs it for fee payment.",Education Department,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03325: Streetlight complaint (rephrased),"Streetlight complaint (formal follow-up): requesting repair of the non-functional pole light on Block A colony, non-functional for approximately 9 days now, causing safety concerns for evening commuters.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
CASE-03326: Ambiguous jurisdiction - streetlight vs electricity theft,"Streetlight outage in Indira Nagar might be linked to illegal power tapping from the same line, unclear who should investigate.",Electricity Board + Police Department,structural_handling(split_or_reopen_or_sarcasm_check) -> human_review_where_ambiguous,
CASE-03327: Threat via social media escalation,"Warned the municipal engineer in Canal Bank Road that if the issue isn't fixed, they should be 'ready for what's coming' after I post about them online.",Multiple Departments (Split Required) + Police Department,threat_flag -> human_review_or_security_escalation -> independent_of_underlying_issue_severity,
CASE-03328: Excessive repeat filing,Same resident has re-filed a streetlight complaint in Periyar Nagar 53 times in two weeks despite acknowledgment each time.,Roads & PWD / Electricity Board,coordination_or_repetition_pattern_detect -> merge_or_flag -> human_review,
CASE-03329: Water Tanker complaint (rephrased),Requesting urgent attention: no municipal water tanker has visited Green Park Layout in 9 days despite the fixed schedule.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03330: Hyperbole vs genuine threat (rephrased),I am so fed up with the Railway Colony office that I could burn the whole place down if this file isn't cleared soon.,Multiple Departments (Split Required),threat_flag -> human_review_or_security_escalation -> independent_of_underlying_issue_severity,
